LECROYSDA100G 46001 Waveform
Segments 1 SegmentSize 5122
Segment TrigTime TimeSinceSegment1
#1 10-Oct-2017 16:45:06 0                 
Time Ampl
1.00024414e-006 -5.81008e-013
1.00024805e-006 -5.80275e-013
1.00025195e-006 -5.80397e-013
1.00025586e-006 -5.80764e-013
1.00025977e-006 -5.8174e-013
1.00026367e-006 -5.82839e-013
1.00026758e-006 -5.83449e-013
1.00027148e-006 -5.83327e-013
1.00027539e-006 -5.86135e-013
1.0002793e-006 -5.88576e-013
1.0002832e-006 -5.90285e-013
1.00028711e-006 -5.90041e-013
1.00029102e-006 -5.89919e-013
1.00029492e-006 -5.88088e-013
1.00029883e-006 -5.87844e-013
1.00030273e-006 -5.86989e-013
1.00030664e-006 -5.87233e-013
1.00031055e-006 -5.87722e-013
1.00031445e-006 -5.87111e-013
1.00031836e-006 -5.87355e-013
1.00032227e-006 -5.86013e-013
1.00032617e-006 -5.8528e-013
1.00033008e-006 -5.86379e-013
1.00033398e-006 -5.876e-013
1.00033789e-006 -5.90529e-013
1.0003418e-006 -5.90041e-013
1.0003457e-006 -5.90529e-013
1.00034961e-006 -5.91872e-013
1.00035352e-006 -5.90529e-013
1.00035742e-006 -5.93093e-013
1.00036133e-006 -5.9529e-013
1.00036523e-006 -5.9529e-013
1.00036914e-006 -5.96389e-013
1.00037305e-006 -5.96999e-013
1.00037695e-006 -5.97365e-013
1.00038086e-006 -5.98586e-013
1.00038477e-006 -5.99074e-013
1.00038867e-006 -6.01027e-013
1.00039258e-006 -6.0237e-013
1.00039648e-006 -6.02126e-013
1.00040039e-006 -6.02858e-013
1.0004043e-006 -6.05788e-013
1.0004082e-006 -6.08229e-013
1.00041211e-006 -6.11037e-013
1.00041602e-006 -6.1299e-013
1.00041992e-006 -6.1531e-013
1.00042383e-006 -6.14577e-013
1.00042773e-006 -6.16286e-013
1.00043164e-006 -6.18117e-013
1.00043555e-006 -6.21657e-013
1.00043945e-006 -6.2361e-013
1.00044336e-006 -6.25563e-013
1.00044727e-006 -6.28615e-013
1.00045117e-006 -6.31301e-013
1.00045508e-006 -6.33254e-013
1.00045898e-006 -6.35207e-013
1.00046289e-006 -6.37404e-013
1.0004668e-006 -6.40212e-013
1.0004707e-006 -6.40334e-013
1.00047461e-006 -6.42531e-013
1.00047852e-006 -6.44484e-013
1.00048242e-006 -6.47658e-013
1.00048633e-006 -6.48757e-013
1.00049023e-006 -6.49367e-013
1.00049414e-006 -6.49611e-013
1.00049805e-006 -6.50344e-013
1.00050195e-006 -6.50588e-013
1.00050586e-006 -6.51687e-013
1.00050977e-006 -6.53029e-013
1.00051367e-006 -6.54006e-013
1.00051758e-006 -6.5486e-013
1.00052148e-006 -6.55593e-013
1.00052539e-006 -6.56569e-013
1.0005293e-006 -6.57668e-013
1.0005332e-006 -6.58889e-013
1.00053711e-006 -6.60476e-013
